科目名,学科,開講学期,曜日・時限,単位数,授業形態,実施方法,教授名,到達目標,概要,授業計画,成績評価基準,成績評価結果,配当年次,カテゴリ
オペレーティングシステム,情報システムデザイン学科,春学期,火曜日1講時,2,講義,面接/Face-to-face,小板　隆浩,オペレーティングシステムの役割と構成，動作原理等について理解し，オペレーティング・システムの全体像を理解することができるようになる．,オペレーティング・システムは，計算機システムを構成する資源の有効利用を目指すものであり，計算機の機能・能力を利用者にできるだけ使い易く提供するための基本的なソフトウェアである。オペレーティング・システムを理解するには，そこで使われている概念を正確に把握する必要がある。本講義では，実システムへの応用を前提として，実際にUNIX系OSを使用した演習をおこなう。オペレーティングシステムの役割と構成，動作原理等について学び，オペレーティング・システムの全体像を理解することを目的とする。,"[{""授業回"": ""1"", ""内容"": ""オペレーティングシステムの概要（1）""}, {""授業回"": ""2"", ""内容"": ""オペレーティングシステムの概要（2）""}, {""授業回"": ""3"", ""内容"": ""プロセス（1）""}, {""授業回"": ""4"", ""内容"": ""プロセス（2）""}, {""授業回"": ""5"", ""内容"": ""プロセス（3）""}, {""授業回"": ""6"", ""内容"": ""スケジューリング (1)""}, {""授業回"": ""7"", ""内容"": ""スケジューリング (2)""}, {""授業回"": ""8"", ""内容"": ""プロセス間通信（1）""}, {""授業回"": ""9"", ""内容"": ""プロセス間通信（2）""}, {""授業回"": ""10"", ""内容"": ""入出力（1）""}, {""授業回"": ""11"", ""内容"": ""入出力（2）""}, {""授業回"": ""12"", ""内容"": ""メモリ管理 (1)""}, {""授業回"": ""13"", ""内容"": ""メモリ管理 (2)""}, {""授業回"": ""14"", ""内容"": ""総合演習 (1)""}, {""授業回"": ""15"", ""内容"": ""総合演習 (2)""}]","[{""項目"": ""平常点"", ""割合"": ""30%"", ""詳細"": ""出席や提出物の成績等を平常点とする。""}, {""項目"": ""演習点"", ""割合"": ""30%"", ""詳細"": ""オペレーティングシステムに関する総合的な理解度を問うレポートや小テストを演習点とする。""}, {""項目"": ""期末試験"", ""割合"": ""40%"", ""詳細"": ""理解度を総合的に評価する．""}]","{""登録者数"": ""105"", ""A"": ""19.0"", ""B"": ""26.7"", ""C"": ""24.8"", ""D"": ""24.8"", ""F"": ""4.8"", ""他"": ""0.0"", ""評点平均値"": ""2.3"", ""備考"": """"}",3,必修
コラボレーション工学,情報システムデザイン学科,秋学期,水曜日2講時,2,講義,面接/Face-to-face,大久保　雅史,コラボレーションの基本となる人のコミュニケーションについて理解できるようになる．さらに，対面・非対面，同期・非同期における各種のコラボレーション支援について知ることで，この分野の将来的なビジョンについて考えられるようになる．,コンピュータや通信技術の発展にともない，サイバースペースやグループウェアをはじめする人と人あるいは人とコンピュータや機械との協調的創造活動を支援するシステムの研究・開発が盛んに行われている。これらのシステムは時間的・空間的な同期性からいくつかのパターンに分類できる。さらに，それぞれのコラボレーション支援の技術的な問題点はシステムの目的によって異なっている。たとえば，時間的・空間的に離れた複数の人が情報を共有しながら効率よく創造的な共同作業を進めていくコラボレーション支援システムでは，コミュニケーションとコオペレーションの2つのインタラクションを支援する必要がある。本講義では，様々なタイプのコラボレーション支援システムの概説と人と人のコラボレーションや人の創造的活動を支援する要素技術について講述する。また，グループによるワークショップをいくつか行い，コラボレーションの本質を実体験する。,"[{""授業回"": ""1"", ""内容"": ""コラボレーション工学とは""}, {""授業回"": ""2"", ""内容"": ""ノンバーバルコミュニケーション（1）""}, {""授業回"": ""3"", ""内容"": ""ノンバーバルコミュニケーション（2）""}, {""授業回"": ""4"", ""内容"": ""コミュニケーション支援（1）""}, {""授業回"": ""5"", ""内容"": ""コミュニケーション支援（2）""}, {""授業回"": ""6"", ""内容"": ""グループウェア（1）""}, {""授業回"": ""7"", ""内容"": ""グループウェア（2）""}, {""授業回"": ""8"", ""内容"": ""グループウェア（3）""}, {""授業回"": ""9"", ""内容"": ""ワークフローシステム""}, {""授業回"": ""10"", ""内容"": ""あいまいな思考を支援する技術""}, {""授業回"": ""11"", ""内容"": ""コラボレーションとゲーム理論１""}, {""授業回"": ""12"", ""内容"": ""コラボレーションとゲーム理論２""}, {""授業回"": ""13"", ""内容"": ""少人数によるグループワーク(ブレインストーミング）および発表""}, {""授業回"": ""14"", ""内容"": ""少人数によるグループワーク（ブレインライティング）および発表""}, {""授業回"": ""15"", ""内容"": ""総括""}]","[{""項目"": ""平常点（クラス参加，発表，グループ作業の成果等）"", ""割合"": ""15%"", ""詳細"": ""出席をとる。大幅な遅刻は欠席とみなす。""}, {""項目"": ""小テスト，レポート"", ""割合"": ""25%"", ""詳細"": ""講義の理解を深めるために授業中のテストやレポートを課す。""}, {""項目"": ""総括"", ""割合"": ""60%"", ""詳細"": ""講義の内容の基礎からその応用までを総括する。""}, {""項目"": ""特記事項"", ""割合"": """", ""詳細"": ""講義内容の理解度を上記に述べる方法で総合的に判断する。""}]","{""登録者数"": ""119"", ""A"": ""58.0"", ""B"": ""19.3"", ""C"": ""11.8"", ""D"": ""4.2"", ""F"": ""6.7"", ""他"": ""0.0"", ""評点平均値"": ""3.2"", ""備考"": """"}",3,
システムと制御の数理,情報システムデザイン学科,春学期,月曜日2講時,2,講義,面接/Face-to-face,高橋　和彦,学生が，システムの解析とその制御系設計に関する数学的な基礎知識を身につけることができるようになることを目標とする．,伝達関数や状態方程式により動的なシステムを記述し，特性を解析し制御系を設計する際に必要となる数学的な基礎知識を中心に講述する．なお，制御系は，代表的な制御方式である帰還（フィードバック）制御を中心に講述する．,"[{""授業回"": ""第1回"", ""内容"": ""イントロダクション・基礎的な知識（複素数，行列）""}, {""授業回"": ""第2回"", ""内容"": ""「基礎的な知識（複素数，行列）」のオンデマンド動画内で提示される課題の演習""}, {""授業回"": ""第3回"", ""内容"": ""複素関数（１）""}, {""授業回"": ""第4回"", ""内容"": ""複素関数（２）""}, {""授業回"": ""第5回"", ""内容"": ""複素関数（３）""}, {""授業回"": ""第6回"", ""内容"": ""ラプラス変換（１）""}, {""授業回"": ""第7回"", ""内容"": ""ラプラス変換（２）""}, {""授業回"": ""第8回"", ""内容"": ""伝達関数（１）""}, {""授業回"": ""第9回"", ""内容"": ""伝達関数（２）""}, {""授業回"": ""第10回"", ""内容"": ""線形代数・線形微分方程式（１）""}, {""授業回"": ""第11回"", ""内容"": ""線形代数・線形微分方程式（２）""}, {""授業回"": ""第12回"", ""内容"": ""線形代数・線形微分方程式（３）""}, {""授業回"": ""第13回"", ""内容"": ""線形代数・線形微分方程式（４）""}, {""授業回"": ""第14回"", ""内容"": ""状態空間制御（１）""}, {""授業回"": ""第15回"", ""内容"": ""状態空間制御（２）""}, {""授業回"": ""第16回"", ""内容"": ""まとめ・補遺""}, {""授業回"": ""第17回"", ""内容"": ""「まとめ・補遺」のオンデマンド動画内で提示される課題の演習""}]","[{""項目"": ""平常点（演習，クラス参加，発表，グループ作業の成果等）"", ""割合"": ""10%"", ""詳細"": ""演習問題による小テストを行い，講義内容の理解度を確認することがある．""}, {""項目"": ""期末試験"", ""割合"": ""90%"", ""詳細"": ""講義内容の理解度を記述式の課題により評価する．""}]","{""登録者数"": ""31"", ""A"": ""38.7"", ""B"": ""19.4"", ""C"": ""22.6"", ""D"": ""9.7"", ""F"": ""9.7"", ""他"": ""0.0"", ""評点平均値"": ""2.7"", ""備考"": """"}",2,
システムプログラミング,情報システムデザイン学科,秋学期,火曜日1講時,2,講義,面接/Face-to-face,小板　隆浩,オペレーティングシステムで用いられるプログラミング技術を，実際のアプリケーションに対して応用できるようになる．,オペレーティング・システムは，計算機システムを構成する資源の有効利用を目指すものであり，計算機の機能・能力を利用者にできるだけ使い易く提供するための基本的なソフトウェアである。オペレーティング・システムを理解するには，そこで使われている技術を十分理解する必要がある。本講義では，実際にUNIX系OSを対象としたプログラミング演習をおこなう。オペレーティングシステムで用いられるプログラミング技術について学び，オペレーティング・システムの全体像を理解することを目的とする。,"[{""授業回"": ""1"", ""内容"": ""Linuxシステムの概要""}, {""授業回"": ""2"", ""内容"": ""シェル，シェルスクリプト，コマンド群""}, {""授業回"": ""3"", ""内容"": ""Linuxプログラミング環境の整備""}, {""授業回"": ""4"", ""内容"": ""ストリーム関連システムコール""}, {""授業回"": ""5"", ""内容"": ""ストリーム関連ライブラリ関数""}, {""授業回"": ""6"", ""内容"": ""プログラム引数，デバッグ""}, {""授業回"": ""7"", ""内容"": ""正規表現，文字列処理""}, {""授業回"": ""8"", ""内容"": ""ファイルシステム関連API""}, {""授業回"": ""9"", ""内容"": ""プロセスとハードウェア""}, {""授業回"": ""10"", ""内容"": ""プロセス関連API""}, {""授業回"": ""11"", ""内容"": ""シグナル関連API""}, {""授業回"": ""12"", ""内容"": ""プロセスの動作環境""}, {""授業回"": ""13"", ""内容"": ""ネットワークプログラミングの基礎""}, {""授業回"": ""14"", ""内容"": ""総括""}, {""授業回"": ""15"", ""内容"": ""まとめ""}]","[{""項目"": ""平常点（出席，演習等）"", ""割合"": ""30%"", ""詳細"": ""演習課題の成績等を総合的に評価する。""}, {""項目"": ""中間レポート"", ""割合"": ""30%"", ""詳細"": ""講義内容の理解度を評価する。""}, {""項目"": ""期末レポート"", ""割合"": ""40%"", ""詳細"": ""講義内容の理解度を評価する。""}]","{""登録者数"": ""42"", ""A"": ""45.2"", ""B"": ""19.0"", ""C"": ""16.7"", ""D"": ""11.9"", ""F"": ""7.1"", ""他"": ""0.0"", ""評点平均値"": ""2.8"", ""備考"": """"}",3,
システム情報学Ⅰ,情報システムデザイン学科,春学期,火曜日2講時,2,講義,面接/Face-to-face,木村　達明,・受講生は，実世界・実社会における問題を，基本的な数理最適化問題として定式化できるようになる． ・受講生は，基本的な数理最適化問題を解くことができるようになる． ・受講生は，グループワークを通じて，実社会に役立つ情報システムのデザインに関して自ら調べ，発表し，議論できるようになる．,本講義では，実世界・実社会に存在する様々なシステムの効率的な設計・制御において重要となる，最適化手法の基礎を学習する．具体的には，線形計画問題と単体法，整数計画問題と貪欲法，動的計画法などの，連続・離散最適化における基本となる問題とその解法を，豊富な実応用例とともに学習する．さらに本講義では，情報システムのデザインに対する考え方を養うため，自ら主体的に研究課題を探索し研究テーマを確立するという一連の手順を，グループワークを通して行う．企業内研究所での勤務経験を有する教員が，当該研究所で習得した技術や知識を基礎とした講義を行っている．,"[{""授業回"": ""1"", ""内容"": ""イントロダクション：本講義の進め方と講義内容の概要""}, {""授業回"": ""2"", ""内容"": ""数理最適化１（数理最適化と線形計画問題）""}, {""授業回"": ""3"", ""内容"": ""数理最適化２（単体法）""}, {""授業回"": ""4"", ""内容"": ""数理最適化３（２段階単体法）""}, {""授業回"": ""5"", ""内容"": ""数理最適化４（非線形計画問題）""}, {""授業回"": ""6"", ""内容"": ""グループワーク（研究アイディアのブレインストーミング）""}, {""授業回"": ""7"", ""内容"": ""グループワーク中間発表""}, {""授業回"": ""8"", ""内容"": ""数理最適化５（整数計画問題）""}, {""授業回"": ""9"", ""内容"": ""数理最適化６（貪欲法と動的計画法）""}, {""授業回"": ""10"", ""内容"": ""数理最適化７（ネットワーク計画問題）""}, {""授業回"": ""11"", ""内容"": ""グループワーク（プレゼンテーション準備）""}, {""授業回"": ""12"", ""内容"": ""グループワーク最終発表（第１回）""}, {""授業回"": ""13"", ""内容"": ""グループワーク最終発表（第２回）""}, {""授業回"": ""14"", ""内容"": ""グループワーク最終発表（第３回）""}, {""授業回"": ""15"", ""内容"": ""授業の総括""}]","[{""項目"": ""平常点（出席，クラス参加，発表，グループ作業の成果等）"", ""割合"": ""30%"", ""詳細"": ""自ら問題意識を持ち，論理的に思考し，情報を集め編集し，表現する力を養うためのグループ作業を実施．""}, {""項目"": ""小レポート"", ""割合"": ""50%"", ""詳細"": ""各講義の内容に関する小レポートを課す．""}, {""項目"": ""期末レポート試験・論文"", ""割合"": ""20%"", ""詳細"": ""講義全般を通じた理解度の確認および自らの問題意識や考えを論理的に記述するレポートを課す．""}]","{""登録者数"": ""85"", ""A"": ""71.8"", ""B"": ""12.9"", ""C"": ""7.1"", ""D"": ""4.7"", ""F"": ""3.5"", ""他"": ""0.0"", ""評点平均値"": ""3.4"", ""備考"": ""*""}",2,
システム情報学Ⅱ,情報システムデザイン学科,秋学期,木曜日4講時,2,講義,面接/Face-to-face,木村　達明,・受講生は，情報学の立場から企業活動を捉え，情報システムをデザインするための考え方を身につけることができるようになる． ・受講生は，グループワークを通じて，企業活動に対する情報学や情報システムの可能性について自ら調べ，発表し，議論できるようになる． ・受講生は，企業の会計や戦略論や経営論の基礎を理解できるようになる．,情報学の立場から，企業活動や企業組織論・戦略論・経営論について学び，考える．具体的には，これまで学んできた知識をいかに企業活動に活用するかに焦点を当て，受講生にはグループワークを通じて新たなビジネスモデルの創出に取り組んでもらう．企業内研究所での勤務経験を有する教員が，当該研究所で習得した技術や知識を基礎とした講義を行っている．,"[{""授業回"": ""1"", ""内容"": ""イントロダクション：本講義の概要とビジネスの考え方""}, {""授業回"": ""2"", ""内容"": ""経営が見える会計""}, {""授業回"": ""3"", ""内容"": ""ビジネスモデルとビジネスモデル・キャンバス""}, {""授業回"": ""4"", ""内容"": ""グループワーク：ビジネスモデルのブレインストーミング""}, {""授業回"": ""5"", ""内容"": ""グループワーク：ビジネスモデル・キャンバスの設計""}, {""授業回"": ""6"", ""内容"": ""中間発表①：ビジネスモデル・キャンバス""}, {""授業回"": ""7"", ""内容"": ""中間発表②：ビジネスモデル・キャンバス""}, {""授業回"": ""8"", ""内容"": ""中間発表③：ビジネスモデル・キャンバス""}, {""授業回"": ""9"", ""内容"": ""グループワーク：SWOT分析""}, {""授業回"": ""10"", ""内容"": ""SWOT分析に関する発表""}, {""授業回"": ""11"", ""内容"": ""グループワーク：最終発表準備""}, {""授業回"": ""12"", ""内容"": ""ビジネスモデル発表と議論①""}, {""授業回"": ""13"", ""内容"": ""ビジネスモデル発表と議論②""}, {""授業回"": ""14"", ""内容"": ""ビジネスモデル発表と議論③""}, {""授業回"": ""15"", ""内容"": ""授業総括""}]","[{""項目"": ""平常点（出席，クラス参加，発表，グループ作業の成果等）"", ""割合"": ""30%"", ""詳細"": ""自ら問題意識を持ち，論理的に思考し，情報を集め編集し，表現する力を養うためのグループ作業を実施。""}, {""項目"": ""小レポート"", ""割合"": ""60%"", ""詳細"": ""各講義内容に関して，自らの問題意識や考えを論理的に記述するレポートを課す。""}, {""項目"": ""期末レポート試験・論文"", ""割合"": ""10%"", ""詳細"": ""講義全般を通じた自らの問題意識や考えを論理的に記述するレポートを課す。""}]","{""登録者数"": ""99"", ""A"": ""57.6"", ""B"": ""28.3"", ""C"": ""8.1"", ""D"": ""5.1"", ""F"": ""1.0"", ""他"": ""0.0"", ""評点平均値"": ""3.4"", ""備考"": ""*""}",3,
システム情報学基礎,情報システムデザイン学科,秋学期,木曜日2講時,2,講義,面接/Face-to-face,木村　達明,・受講生は，システム情報学を構成する様々な理論について，具体例を用いて説明できるようになる． ・受講生は，様々な実世界や実社会の問題や現象をシステムとして捉え，適切なモデリング技法を用いてモデル化できるようになる． ・受講生は，様々な実システムの設計・制御のために必要となる適切な理論や技法を選択できるようになる．,システム情報学の社会的意義と可能性について考える。すなわち“関係性（＝モノ・コト・情報の相互作用）をいかにデザインするか”という情報学の視点から現代社会を多様な側面から捉え，将来型の情報デザインおよび情報システムのデザインを行うための“もの”の見方や考え方を学ぶ。具体的には，経済学・社会学・経営学のみならず生態学・環境学・宗教学などと情報学との接点を探るなかから，人間と人間，人間と社会，人間と環境との相互作用を対象とするシステム情報学の見方や考え方を紹介する。企業内研究所での勤務経験を有する教員が，当該研究所で習得した技術や知識を基礎とした講義を行っている。,"[{""授業回"": ""1"", ""内容"": ""イントロダクション：本講義の進め方とシステム情報学の概要""}, {""授業回"": ""2"", ""内容"": ""数理最適化""}, {""授業回"": ""3"", ""内容"": ""連続最適化""}, {""授業回"": ""4"", ""内容"": ""組み合わせ最適化""}, {""授業回"": ""5"", ""内容"": ""グラフ理論""}, {""授業回"": ""6"", ""内容"": ""ネットワーク科学""}, {""授業回"": ""7"", ""内容"": ""確率論の復習と確率モデル""}, {""授業回"": ""8"", ""内容"": ""情報理論""}, {""授業回"": ""9"", ""内容"": ""待ち行列理論""}, {""授業回"": ""10"", ""内容"": ""空間確率モデル""}, {""授業回"": ""11"", ""内容"": ""多腕バンディット問題と強化学習""}, {""授業回"": ""12"", ""内容"": ""感染症の数理""}, {""授業回"": ""13"", ""内容"": ""ゲーム理論""}, {""授業回"": ""14"", ""内容"": ""行動経済学""}, {""授業回"": ""15"", ""内容"": ""授業の総括""}]","[{""項目"": ""平常点(出席，クラス参加，グループ作業の成果等)"", ""割合"": ""30%"", ""詳細"": """"}, {""項目"": ""小レポート"", ""割合"": ""60%"", ""詳細"": ""各講義内容に関して，自らの問題意識や考えを論理的に記述するレポートを課す。""}, {""項目"": ""期末レポート試験・論文"", ""割合"": ""10%"", ""詳細"": ""講義全般を通じた自らの問題意識や考えを論理的に記述するレポートを課す。""}]","{""登録者数"": ""80"", ""A"": ""72.5"", ""B"": ""18.8"", ""C"": ""2.5"", ""D"": ""0.0"", ""F"": ""6.3"", ""他"": ""0.0"", ""評点平均値"": ""3.5"", ""備考"": """"}",1,
シミュレーション基礎演習,情報システムデザイン学科,春学期,金曜日3講時,2,演習,面接/Face-to-face,高橋　和彦,学生が，コンピュータを用いた数値計算によるシミュレーションに関して，基本的な方法と考え方を習得出来るようになることを目標とする。,コンピュータを使ってさまざまな現象やシステムのふるまいをシミュレーションするために必要となる数値計算方法を取り上げ，その基本的な考え方や使用方法について講述するとともに，コンピュータを用いた演習を通じて学ぶ.,"[{""授業回"": ""第1回"", ""内容"": ""イントロダクション・ツール操作の基本""}, {""授業回"": ""第2回"", ""内容"": ""「ツール操作の基本」のオンデマンド動画内で提示される課題の演習""}, {""授業回"": ""第3回"", ""内容"": ""関数とグラフ""}, {""授業回"": ""第4回"", ""内容"": ""非線形方程式の解""}, {""授業回"": ""第5回"", ""内容"": ""最小自乗法・補間法""}, {""授業回"": ""第6回"", ""内容"": ""数値微分・数値積分""}, {""授業回"": ""第7回"", ""内容"": ""常微分方程式""}, {""授業回"": ""第8回"", ""内容"": ""中間評価""}, {""授業回"": ""第9回"", ""内容"": ""数値シミュレーション（１）""}, {""授業回"": ""第10回"", ""内容"": ""数値シミュレーション（２）""}, {""授業回"": ""第11回"", ""内容"": ""数値シミュレーション（３）""}, {""授業回"": ""第12回"", ""内容"": ""数値シミュレーション（４）""}, {""授業回"": ""第13回"", ""内容"": ""数値シミュレーション（５）""}, {""授業回"": ""第14回"", ""内容"": ""セルオートマトン（１）""}, {""授業回"": ""第15回"", ""内容"": ""セルオートマトン（２）""}, {""授業回"": ""第16回"", ""内容"": ""まとめ・補遺""}, {""授業回"": ""第17回"", ""内容"": ""「まとめ・補遺」のオンデマンド動画内で提示される課題の演習""}]","[{""項目"": ""平常点（演習，クラス参加，発表，グループ作業の成果等）"", ""割合"": ""10%"", ""詳細"": ""毎回の演習により講義内容の理解度を確認する。""}, {""項目"": ""課題レポート"", ""割合"": ""50%"", ""詳細"": ""講義内容に関連した課題を課して理解度を評価する。課題により点数配分は異なる。""}, {""項目"": ""中間評価"", ""割合"": ""40%"", ""詳細"": ""数値計算法に関して記述式の課題により理解度を評価する。""}]","{""登録者数"": ""75"", ""A"": ""25.3"", ""B"": ""29.3"", ""C"": ""21.3"", ""D"": ""21.3"", ""F"": ""2.7"", ""他"": ""0.0"", ""評点平均値"": ""2.5"", ""備考"": """"}",1,
センシング制御工学,情報システムデザイン学科,秋学期,水曜日4講時,2,講義,面接/Face-to-face,橋本　雅文,(1)運動量を計測するセンサの基礎を習得できる． (2)センサに関連する誤差の表現法を理解できるようになる． (3)センサ情報をコンピュータに取り入れる方法を習得できる． (4)センサ情報に基づく様々な信号処理手法の基礎を習得できる．,「センシング」は注目する情報を取得し，「制御」はその情報に基づいた操作による行動を意味する。センシングによりシステムの状態を信頼性高く認識することは，それを正確に制御する基礎となる。本講義ではロボットやメカトロニクスシステムでのセンシングに不可欠な基礎的事項を修得する。,"[{""授業回"": ""1"", ""内容"": ""序論：ロボットとセンシング""}, {""授業回"": ""2"", ""内容"": ""ロボットのセンサ（その1）""}, {""授業回"": ""3"", ""内容"": ""ロボットのセンサ（その2）""}, {""授業回"": ""4"", ""内容"": ""センサ信号のディジタル変換""}, {""授業回"": ""5"", ""内容"": ""単位系と有効数字""}, {""授業回"": ""6"", ""内容"": ""センサ信号の誤差""}, {""授業回"": ""7"", ""内容"": ""間接測定の誤差伝播""}, {""授業回"": ""8"", ""内容"": ""システム同定：最小2乗法""}, {""授業回"": ""9"", ""内容"": ""システム同定：線形回帰""}, {""授業回"": ""10"", ""内容"": ""センサ信号の処理：アベレージングとスムージング""}, {""授業回"": ""11"", ""内容"": ""センサ信号の処理：相関法""}, {""授業回"": ""12"", ""内容"": ""センサ信号の処理：離散フーリエ変換（その１）""}, {""授業回"": ""13"", ""内容"": ""センサ信号の処理：離散フーリエ変換（その２）""}, {""授業回"": ""14"", ""内容"": ""センサ信号の処理：z変換とデジタルフィルタ""}, {""授業回"": ""15"", ""内容"": ""総括""}]","[{""項目"": ""平常点（クラス参加，発表，グループ作業の成果等）"", ""割合"": ""10%"", ""詳細"": ""毎回，小テストを行い，出欠とともに講義内容の理解度を確認する。なお，大幅な遅刻は欠席とみなす。""}, {""項目"": ""レポート課題"", ""割合"": ""5%"", ""詳細"": ""複数回のレポートを課し，講義内容の理解度を評価する。レポートの解説は授業で行う。""}, {""項目"": ""期末試験"", ""割合"": ""85%"", ""詳細"": ""講義内容の理解度と論理的思考力を評価する。期末試験の解説は授業講評で行う。""}]","{""登録者数"": ""108"", ""A"": ""25.0"", ""B"": ""21.3"", ""C"": ""12.0"", ""D"": ""17.6"", ""F"": ""24.1"", ""他"": ""0.0"", ""評点平均値"": ""2.1"", ""備考"": """"}",2,
ソフトウェア工学,情報システムデザイン学科,春学期,木曜日3講時,2,講義,面接/Face-to-face,白浜　公章,・受講者は，開発すべきシステムの要件を明確化し，システムを構成要素となるモジュール群に分解して，各モジュールを実装・テストするための効果的，かつ系統だった技法を習得できるようになる． ・受講者は，講義した技法を用いて，開発課題に対応したシステムの分析，設計，テストを立案できるようになる． ・受講者は，処理やデータの流れ，モジュール間の関係などを表す図を作成して，立案したシステムを直感的に第3者にプレゼンテーションできるようになる． ・受講者は，各技術を単なる知識として記憶するのではなく，その成立の背景，考え方を自らの言葉で説明できるようになることが求められる．,情報システムの分析・設計・開発工程に焦点をあて，情報システム構築に必要とされる情報技術について学ぶ．特に，ソフトウェア開発技術の基本である構造化技法（構造化分析，構造化設計，構造化プログラミング），オブジェクト指向開発技法，テストケースの設計技法に重点を置く．そして，各技法を用いて自分独自のシステムを設計し，講義内容を開発現場で活用できる知識として定着させることを目標とする． 学期中，1人1回，自分が設計したシステムに関する数分間のプレゼンテーションを行う必要がある．,"[{""授業回"": ""1"", ""内容"": ""情報システム開発の現状と問題点""}, {""授業回"": ""2"", ""内容"": ""情報システム開発工程""}, {""授業回"": ""3"", ""内容"": ""構造化分析""}, {""授業回"": ""4"", ""内容"": ""データフローダイアグラム（DFD）とエンティティリレーションシップダイアグラム（ER図）""}, {""授業回"": ""5"", ""内容"": ""構造化分析に関する議論""}, {""授業回"": ""6"", ""内容"": ""オブジェクト指向開発""}, {""授業回"": ""7"", ""内容"": ""オブジェクト指向開発に関する議論""}, {""授業回"": ""8"", ""内容"": ""構造化設計と複合設計""}, {""授業回"": ""9"", ""内容"": ""複合設計の事例と評価""}, {""授業回"": ""10"", ""内容"": ""複合設計に関する議論""}, {""授業回"": ""11"", ""内容"": ""構造化プログラミング""}, {""授業回"": ""12"", ""内容"": ""テストケースの設計""}, {""授業回"": ""13"", ""内容"": ""テスト設計に関する議論""}, {""授業回"": ""14"", ""内容"": ""総合評価""}, {""授業回"": ""15"", ""内容"": ""講義の総括""}]","[{""項目"": ""レポート"", ""割合"": ""60%"", ""詳細"": ""適切に講義内容を活用できているかを評価する．""}, {""項目"": ""プレゼンテーション"", ""割合"": ""10%"", ""詳細"": ""第3者にも分かる説明がなされているかを評価する．""}, {""項目"": ""期末試験"", ""割合"": ""30%"", ""詳細"": ""講義内容全体の習得レベルを確認する．""}]","{""登録者数"": ""106"", ""A"": ""22.6"", ""B"": ""37.7"", ""C"": ""24.5"", ""D"": ""14.2"", ""F"": ""0.9"", ""他"": ""0.0"", ""評点平均値"": ""2.7"", ""備考"": """"}",3,必修
ソフトウェア設計技法,情報システムデザイン学科,秋学期,月曜日5講時,2,講義,面接/Face-to-face,小板　隆浩,UMLの考え方と記述方法を理解し，具体的な題材をモデリングできるようになる。,情報システムを開発するためには，その対象領域について「今どうなっているのか」，「将来どのようになってほしいか」，「そのためにどのようにすればよいか」ということを把握するために，モデリングという作業が必要となる。モデリングは，現実世界やシステムのような複雑な対象を，別の理解しやすい表現で置き換えることである。本講義では，情報システム開発のためのモデルを表現する手段として，UML(Unified Modeling Language)をとりあげ，モデリングによる開発技法を学ぶ。なお，一部の回については，企業内システム開発部門での勤務経験を有する教員が当該部門で習得した技術を基礎とした演習を行っている。,"[{""授業回"": ""1"", ""内容"": ""モデルベース開発への序章１ 担当：井本，小板""}, {""授業回"": ""2"", ""内容"": ""モデルベース開発への序章２ 担当：井本，小板""}, {""授業回"": ""3"", ""内容"": ""要求分析：ユースケース・アクターの抽出，ユースケースの整理 担当：上野，小板""}, {""授業回"": ""4"", ""内容"": ""要求分析：ユースケース図，ユースケース記述 担当：上野，小板""}, {""授業回"": ""5"", ""内容"": ""分析―構造モデリング：クラス図，オブジェクト図，関連 担当：上野，小板""}, {""授業回"": ""6"", ""内容"": ""振る舞いモデリング：ユースケース実現のモデリング，シーケンス図 担当：上野，小板""}, {""授業回"": ""7"", ""内容"": ""分析―構造モデリング：クラス・操作・属性の抽出，関連クラス 担当：上野，小板""}, {""授業回"": ""8"", ""内容"": ""振る舞いモデリング：アクティビティ図，状態遷移図 担当：上野，小板""}, {""授業回"": ""9"", ""内容"": ""小テスト1 担当：小板""}, {""授業回"": ""10"", ""内容"": ""アーキテクチャ：配置図，パッケージ図，代表的なアーキテクチャ 担当：上野，小板""}, {""授業回"": ""11"", ""内容"": ""詳細設計：詳細クラス図 担当：上野，小板""}, {""授業回"": ""12"", ""内容"": ""詳細設計：デザインパターンの紹介 担当：上野，小板""}, {""授業回"": ""13"", ""内容"": ""総合演習：要求分析から設計まで 担当：上野，小板""}, {""授業回"": ""14"", ""内容"": ""小テスト2 担当：小板""}, {""授業回"": ""15"", ""内容"": ""まとめ（理解度により授業内課題を含む） 担当：小板""}]","[{""項目"": ""平常点（演習課題）"", ""割合"": ""30%"", ""詳細"": ""ほぼ毎回，演習課題を行う。演習課題により講義内容をより深く理解することができる。""}, {""項目"": ""平常点（小テスト1）"", ""割合"": ""35%"", ""詳細"": ""講義内容の理解度を評価する。""}, {""項目"": ""平常点（小テスト2）"", ""割合"": ""35%"", ""詳細"": ""講義内容の理解度を評価する。""}, {""項目"": ""特記事項"", ""割合"": """", ""詳細"": ""授業の進め方や成績評価については，必要に応じて，授業中，あるいは，遠隔の連絡手段で詳しく説明する（連絡手段に関しては備考参照）。受講生は連絡を見逃さないように，日頃，遠隔の連絡手段で送られて来るメッセージを確認すること。""}]","{""登録者数"": ""82"", ""A"": ""30.5"", ""B"": ""35.4"", ""C"": ""24.4"", ""D"": ""4.9"", ""F"": ""4.9"", ""他"": ""0.0"", ""評点平均値"": ""2.8"", ""備考"": """"}",2,
